qualification_id,call_id,lead_id,interest_type,target_state,target_city,budget_min,budget_max,timeline_months,pre_approval_status,desired_property_type,move_in_timeline,property_address,estimated_value,reason_for_selling,listing_timeline,agent_matched,created_at
62911c5c-280f-4075-9227-ca3f7fd9fa50,fb56c2ef-8688-4a12-90b8-90792f3599d7,9d6c2845-8535-47b8-87ee-1b878c795f55,seller,ND,Port Travisbury,250000,400000,12,,,,"83866 Christian Mills Suite 177, Davidfort, WA 86139",340448.0,Financial Hardship,Not sure,True,2026-05-14T11:19:33.520325
eb5b035d-b9d7-44a9-83e7-48d009f14d6e,edcda92a-1bc6-4d08-841b-d2c95a0cc55e,ef1dcd7a-f018-4bd1-a4e8-64669dc32abc,seller,CT,South Donald,400000,600000,1,,,,"690 Haynes Roads Suite 026, Cookville, HI 47425",442052.0,Investment,Not sure,True,2026-07-18T07:23:13.520325
1a30a34e-7c08-4fdd-ab87-38dcbce4f886,c3e0a4bc-2274-4b75-b57b-4126f1705dea,35294f62-65fa-4b6e-9cfa-19b91cc40822,seller,ND,New Barry,1500000,5000000,6,,,,"51958 Randy Drive Apt. 944, Williamburgh, MP 26923",4652570.0,Estate Sale,Not sure,True,2026-06-07T17:08:12.520325
3d252af6-82f2-4144-9c78-01c3d7dc8a8e,3981779a-453b-40ee-aea8-6462d3ee5631,bb5471a8-6990-415c-9c9a-9f41d72bd994,buyer,SD,Victormouth,100000,250000,24,Approved,Townhouse,1-3 months,,,,,True,2026-06-11T13:24:11.520325
c442a7c5-e87a-4f39-9987-e1570367266f,5b37c293-9106-4531-bee6-de96d6f5308f,16c63159-f06e-44b6-ba1b-728ba2fbca47,seller,NV,Amyberg,900000,1500000,24,,,,"8688 Christina Mews, West Randall, FL 99184",977267.0,Job Change,Not sure,True,2026-03-23T08:31:11.520325
f7432619-99fc-41be-8719-3e83e47c4fe7,13dae1d3-bf51-4508-9ffe-bcf54f2c4b5f,f7e1d44b-24ba-43df-b5d6-060cad0ee44b,buyer,NV,New Tracystad,900000,1500000,6,Not Started,Condo,3-6 months,,,,,True,2026-03-15T11:30:15.520325
df0e6d12-8207-4138-a16c-5ce0f25364c7,e730e764-56d9-4ee0-a819-dc34c3202552,665120f4-a4f2-498b-aa7c-8aab102b0f27,buyer,WI,Port Daniel,400000,600000,24,Approved,Commercial,ASAP,,,,,True,2026-02-23T17:50:00.520325
bec19cd0-f24f-4887-a10b-6d05f516709f,5e5f6a94-71f4-4221-b979-00be569771b1,a298fe02-cedb-4bce-9769-ae94dd03981f,buyer,CT,Lake Victoria,250000,400000,1,In Progress,Condo,3-6 months,,,,,True,2026-06-16T09:40:51.520325
3e879a87-b4bd-4418-9c50-6d4c57c0b2a2,11f8b9ab-6efd-4f9f-a628-2b2416ce594f,8eb99ca8-69b0-404e-a96f-b45f1a834379,seller,OK,Port Brooke,900000,1500000,24,,,,"7242 Marsh Flat Apt. 652, Waltershire, IN 03218",1176502.0,Financial Hardship,Not sure,True,2026-05-23T23:07:49.520325
4190217f-6b21-47ea-a5c1-247afdba63f7,8e41c523-e815-492e-854b-66546db21a0b,5a30de2b-e20e-47f1-a0a1-b6174f0f014e,buyer,FL,Port Charlestown,1500000,5000000,12,Not Started,Commercial,1-3 months,,,,,True,2026-02-22T16:45:40.520325
c0196ea6-49b5-4b5c-859a-5166ae44d680,e53d4184-b5ce-421b-81d6-793283f5c352,55ec420a-bc81-40da-95f2-9b0aac4de988,buyer,RI,Port Michael,600000,900000,3,In Progress,Single Family,ASAP,,,,,True,2026-04-23T19:04:57.520325
beae2b0e-1484-4661-9984-197e9103cf21,a9c41117-2e5d-4b3b-ac16-688a8eea6561,b37a916e-95bb-4464-8f03-cf7e0b04e9ab,buyer,GA,East Tonymouth,250000,400000,3,In Progress,Townhouse,3-6 months,,,,,True,2026-07-07T02:08:54.520325
bec21c57-6778-4b95-8414-bac80dffcbe6,a8e55852-7c5e-4b99-9704-3d03ad4d8444,75fbb015-02a7-4392-ac2a-1c9778ef2188,seller,MS,Lake Kristenborough,900000,1500000,24,,,,"7198 Julia Points, Youngport, UT 87597",1316760.0,Divorce,Not sure,True,2026-02-14T08:51:04.520325
4e119f9e-c52b-4754-93e8-d1bbe8f36ebc,886a004f-89bb-4098-bcd7-a0ca919ea5a8,1c97c979-cd63-4ea1-82ff-b1daa93afd2a,seller,HI,Marquezstad,250000,400000,1,,,,"384 Wolfe Parkway Apt. 056, Ramirezborough, PW 18475",306739.0,Downsizing,1-3 months,True,2026-02-02T07:05:16.520325
bbd6cf20-c44b-46ff-9aca-9b95c38d6224,7aabdcf5-db8a-4edc-8b37-1f8c61b26e00,f7e1d44b-24ba-43df-b5d6-060cad0ee44b,buyer,NV,New Tracystad,900000,1500000,6,Not Started,Condo,3-6 months,,,,,True,2026-01-22T02:15:56.520325
719a6436-5f0b-4dfb-9ad5-ac329cd93920,c0a8b5f6-ffc8-4a06-90c5-f2fe944bb93d,6b919d10-fd1f-430b-b7e8-4e46a04f9bcb,seller,MO,East Donna,400000,600000,12,,,,"001 Stacy Trail Suite 396, South Pamelaside, LA 84637",498473.0,Downsizing,1-3 months,True,2026-04-13T00:34:16.520325
e426e5bd-c211-417e-a09f-9a5092fee8ec,36fd95eb-c523-4128-8214-d3baedd077cb,6c081e21-db65-4124-b305-2cfb251b7f22,seller,TN,South Chad,1500000,5000000,3,,,,"Unit 3962 Box 7128, DPO AA 29125",2000609.0,Estate Sale,Not sure,True,2026-05-12T19:55:38.520325
51ca388e-2792-4b58-9953-b2c9811250a1,5f685155-8c42-48c6-aad8-f74e3eef9f91,4766f53a-39b4-4c89-86b5-f27bf857c557,buyer,HI,Port Tamara,100000,250000,6,In Progress,Townhouse,3-6 months,,,,,True,2026-07-01T20:39:46.520325
e268f2d2-5718-4103-b155-345405511abc,c9e134c5-ff29-4449-8f8f-69a91a2003ee,2fd8cb0f-aac5-45a3-afe3-48e23cec7471,seller,AK,Ambertown,1500000,5000000,12,,,,"PSC 7365, Box 1189, APO AE 75955",3189387.0,Downsizing,Not sure,True,2026-07-16T01:55:23.520325
a4490898-865e-4d3a-a7f4-6301629a385f,b136e9ca-8a18-49dc-8bc9-d7fad60aa711,b2725d01-7b3f-4cf1-a178-ffc69f5267fb,buyer,SD,East Jay,250000,400000,12,Not Started,Condo,ASAP,,,,,True,2026-02-25T13:00:25.520325
775ffc63-1dc8-495c-8aec-5098ffe9c6bd,1ecfca89-3324-46b6-ad31-a2273031275d,edeb2da1-caa3-416b-8754-eea9cdeb254b,buyer,HI,South Gregory,100000,250000,24,Approved,Commercial,3-6 months,,,,,True,2026-05-03T11:38:11.520325
1635befc-94b1-4744-8e2d-af1fbfdd8617,830f0a29-af28-4dfd-aac1-890ee825a4b5,5cb19682-7d3d-4728-b682-d65ed7a37c29,seller,CT,Yushire,1500000,5000000,6,,,,"0695 James Overpass, Ramseychester, CO 57826",4630640.0,Job Change,Within 30 days,True,2026-01-26T18:44:58.520325
8b44c5a3-fd0c-4a33-91ff-f943919d29cd,eb24c21d-5a2f-461d-bcea-56f703a03460,b1cc07e3-dd1e-438c-8e4d-5935f2cbf328,buyer,VA,Raymondville,600000,900000,6,Not Started,Townhouse,1-3 months,,,,,True,2026-06-12T17:31:15.520325
ef2136bb-7a2c-417d-ba63-90db8f3990e4,5a10f394-41b6-43eb-875b-055eea224cd4,3709a9ea-0f64-4fc6-a154-52a6789a68d9,seller,GA,Lake Matthew,900000,1500000,24,,,,"917 Barrett Parkways, South Adam, WA 06867",1435617.0,Estate Sale,1-3 months,True,2026-03-12T14:54:36.520325
41887608-3d8c-4c9b-96d1-5213afb86ac4,8d08aa99-660b-4486-a4db-ce0ca698e64d,dfffd959-a9bb-420d-ae24-20873aa4e759,seller,OK,Douglasshire,400000,600000,12,,,,"24471 Livingston Harbor, Schwartzmouth, KS 21730",479165.0,Estate Sale,Not sure,True,2026-01-31T14:53:27.520325
746556d8-29dc-444f-b51b-16e303f14315,bec138ea-b711-4829-b3f4-ef95269e3b94,884e8e40-c515-48a3-84ee-69d7918ce59f,seller,AL,Rodgersmouth,250000,400000,24,,,,"833 Williams Bridge, West Michele, KS 23507",266517.0,Estate Sale,3-6 months,True,2026-06-24T15:34:32.520325
08d92a41-b9a8-4401-b4ee-c5f9833c460b,1c63f7fa-2fc7-4c57-a8ac-dbeca871aa0e,24f62638-29cf-45fc-94ed-4c8d1bd93c25,buyer,GA,East David,1500000,5000000,1,Approved,Condo,3-6 months,,,,,True,2026-06-30T02:07:26.520325
24d69e61-b750-4f89-b682-43abaff42c0e,24046957-d8c0-4970-973a-737eaa33fb7d,edeb2da1-caa3-416b-8754-eea9cdeb254b,buyer,HI,South Gregory,100000,250000,24,Approved,Commercial,3-6 months,,,,,True,2026-06-12T01:35:50.520325
f46dc069-bcd4-4e4d-8770-caa05df7f746,7d4e2a2c-b766-4f1b-aefd-acbc2300a3a0,97d9a75d-42db-457f-86eb-07b3bfd011a1,seller,RI,Port Jessica,400000,600000,24,,,,"92405 Kevin Mountains, West Jasonside, IL 27213",533155.0,Downsizing,Not sure,True,2026-04-28T20:42:25.520325
34b7be72-b046-4cfb-9d15-e1cdfd61b14c,f488282c-dbc5-433d-9053-421dbd447420,cd422b32-9a29-494f-929a-45c0cc8a2a83,buyer,ID,West Gabriellestad,600000,900000,6,Approved,Land,ASAP,,,,,True,2026-01-22T00:13:20.520325
25be21d4-5a6f-463e-9b46-038f72f84aca,004deee5-8767-4743-ae3f-a6a7569fce43,db9ae42d-5890-49d8-a284-3194a33769f4,seller,DE,New Amyhaven,400000,600000,6,,,,"8235 Wilson Street, Amyfurt, NC 86601",527538.0,Financial Hardship,Not sure,True,2026-06-09T19:02:37.520325
0af2c332-0bd2-4b66-aa61-1986f7c1efc0,ddf5af0d-b09b-4c0a-bc9f-ccc2e2069fd2,2cebeb62-f337-48d8-84b7-6f1153c73a4f,buyer,AL,Lake Haleyton,1500000,5000000,3,Not Started,Commercial,1-3 months,,,,,False,2026-01-20T09:55:46.520325
e29d36f4-69ec-4939-901a-662d45d860eb,a3529bb7-bef6-41f1-baa1-992fced1aabb,9118917a-f5d4-45dc-8483-44e83ff0999a,buyer,NE,Gonzalezfort,900000,1500000,1,Approved,Condo,1-3 months,,,,,True,2026-04-09T19:23:49.520325
c1631ece-65f2-46b3-bbc3-a041883ac1f0,4a67d095-a6ed-4dab-97a2-9d640e61e1f4,24f62638-29cf-45fc-94ed-4c8d1bd93c25,buyer,GA,East David,1500000,5000000,1,Approved,Condo,3-6 months,,,,,False,2026-03-25T10:04:23.520325
0a0f1ec9-cf05-4683-9ade-d631475d9a41,6e598220-273f-4822-9cc8-45869df93d12,b3d2be93-e22f-4757-a333-ed89b03cb904,seller,MD,Port Tammy,1500000,5000000,1,,,,"82422 Donovan Fork, Staceyhaven, MH 37731",2567270.0,Upsizing,1-3 months,True,2026-05-20T23:19:31.520325
b8070eca-0448-4c04-895f-77b1afba7667,2c245c16-b68c-4b41-bae7-d914c2235293,4766f53a-39b4-4c89-86b5-f27bf857c557,buyer,HI,Port Tamara,100000,250000,6,In Progress,Townhouse,3-6 months,,,,,True,2026-06-29T17:02:36.520325
8dade2c6-ad77-440f-9d08-bdf8660e8d7f,b43c26a0-82b8-48dc-8aeb-b7264d2c32b6,92adac7a-d449-4d1c-ad43-fafe9a92aed9,buyer,AZ,North Samantha,400000,600000,6,Not Started,Townhouse,1-3 months,,,,,True,2026-05-14T02:37:52.520325
b80f0c79-47eb-4fa9-b44d-a16cffac1aef,6aa27344-711b-4ffa-8723-5b64c50f0e19,ce585dac-4edc-4b9d-986c-355e703e4e3b,buyer,WI,Port Michael,100000,250000,1,In Progress,Land,3-6 months,,,,,True,2026-02-15T00:52:59.520325
497d9c44-065d-4099-9d88-5c670b3c245a,c1c36b59-14c5-4007-ba74-069a1b6ccbfc,24f62638-29cf-45fc-94ed-4c8d1bd93c25,buyer,GA,East David,1500000,5000000,1,Approved,Condo,3-6 months,,,,,True,2026-01-26T02:17:42.520325
9ad32bb6-fbb3-4cee-9a95-d81839054f0e,fccdc970-8471-4f26-8c50-a49416d4113c,75262d19-f015-4f34-8513-25f61088e63b,buyer,VT,East Kendra,1500000,5000000,12,Not Started,Multi-Family,1-3 months,,,,,True,2026-03-29T02:40:53.520325
197471f8-511d-4338-923e-c503e534ed48,05e84df1-a86a-4e6f-96c7-e7e4937e3f84,b1cc07e3-dd1e-438c-8e4d-5935f2cbf328,buyer,VA,Raymondville,600000,900000,6,Not Started,Townhouse,1-3 months,,,,,True,2026-04-17T12:23:43.520325
807f84fb-80f0-4206-8991-e7a2266f620a,0650d917-e1ff-49bd-94dd-e52ffb426ed3,b2725d01-7b3f-4cf1-a178-ffc69f5267fb,buyer,SD,East Jay,250000,400000,12,Not Started,Condo,ASAP,,,,,True,2026-02-10T15:06:39.520325
9a4cccbd-db02-41e9-9a24-60e29b3607cf,1cd5776e-29c4-4ac0-8c61-f3b44cc86dd2,afdb2478-2081-4359-812d-85641f9fdbc7,seller,ME,North Robert,900000,1500000,6,,,,"0518 Lucero Fields, West Marymouth, MH 93471",1458041.0,Divorce,3-6 months,False,2026-06-30T21:15:56.520325
29fcea95-a547-414f-b6d2-09746a7ace14,9e5afbdb-074c-4532-b097-a7854f0717bf,dfffd959-a9bb-420d-ae24-20873aa4e759,seller,OK,Douglasshire,400000,600000,12,,,,"24471 Livingston Harbor, Schwartzmouth, KS 21730",479165.0,Estate Sale,Not sure,True,2026-04-28T05:24:55.520325
6940c68f-caa0-4476-95b7-f19df942d0cd,f74df709-4033-4ab6-a942-61ba7417fc57,d757f9db-747d-48b8-bc46-c218e6f86bec,seller,RI,Porterton,1500000,5000000,24,,,,"8729 Mark Ridge Suite 269, Brittneyhaven, MP 67310",1805279.0,Divorce,1-3 months,True,2026-07-10T05:18:05.520325
c099d2f8-2f0e-4a8b-8282-220ffac97d53,183c3e08-dea3-402f-8501-24cd2ae4c325,a6eac6ec-c09e-474c-a43f-8d1ce1dd2779,seller,AL,Tinachester,600000,900000,6,,,,"724 Dalton Parks, Lake Michael, NJ 40270",828316.0,Estate Sale,3-6 months,True,2026-05-18T01:25:50.520325
3faa4962-45ba-4a15-838f-5e9c721f506f,e4367fce-3f54-4a1a-815a-079125ec3bfc,59559ae3-18c4-47cf-8d26-c84d5c375b79,buyer,FL,Stevenfort,400000,600000,6,Approved,Condo,6-12 months,,,,,True,2026-06-08T18:31:15.520325
9290c178-b2d1-4ade-9d3b-34115791eb43,225909dc-339a-4379-8b70-155d2a82bfcc,cbf5bc89-ab93-473d-bca3-c754f040595b,buyer,MN,South Brianna,400000,600000,1,In Progress,Single Family,3-6 months,,,,,True,2026-07-08T07:28:48.520325
eeabb0ba-4aa7-44cd-967e-b579f2bc974b,b429fbdf-35f2-4a26-905b-23c284640cc6,e792e61b-0a00-42f2-9427-eaf32253c768,buyer,VA,Catherinehaven,1500000,5000000,3,Not Started,Single Family,6-12 months,,,,,True,2026-07-16T15:24:48.520325
112a23e3-4397-43a1-8eb3-c8aa97bf8ed2,7cb582f3-bc53-4b17-8a11-5e46f9cc0541,ce2f8ca4-b137-4f70-808b-2b60f72be57d,seller,KY,New Stephenville,600000,900000,3,,,,"215 Michael Bridge Apt. 446, Michaelfurt, KS 74047",710971.0,Estate Sale,1-3 months,True,2026-06-10T02:42:45.520325
3ef0eca3-10a5-4004-82f5-f7b0a05fec5b,82bbc5de-5d72-4287-9e37-3b5eaafe0c77,1c97c979-cd63-4ea1-82ff-b1daa93afd2a,seller,HI,Marquezstad,250000,400000,1,,,,"384 Wolfe Parkway Apt. 056, Ramirezborough, PW 18475",306739.0,Downsizing,1-3 months,False,2026-01-31T14:22:16.520325
650b605a-a4be-4bdc-b459-3f44904cafdf,b0d7edab-2ad6-4c01-99c5-d45fab8b44c0,a9d114d4-6683-4f02-ba48-3caf25af879f,seller,FL,Samuelborough,600000,900000,24,,,,"919 Roman Cliff Suite 262, East Tannerhaven, NH 71352",773459.0,Investment,Within 30 days,True,2026-07-07T02:04:56.520325
49017016-8f98-4db1-b24f-62557be36446,4d6b2e24-d776-4668-a6c6-6892c0fa14fd,9265687d-b0ae-46e9-93fd-4077c03e5518,buyer,WI,West Donberg,250000,400000,1,In Progress,Commercial,ASAP,,,,,True,2026-07-05T10:23:44.520325
eafd79d2-a798-4f9d-8d6f-3d348fb39160,98f101c8-2885-43b0-b34e-fae56e7bee35,a63bf5c8-9882-48fa-b04b-182403f87569,seller,AZ,East Jennifer,400000,600000,3,,,,"593 Graham Crossing Suite 370, Ericborough, MI 09159",460051.0,Investment,3-6 months,True,2026-03-12T22:06:50.520325
dc000bfd-688e-4f9f-9a61-ab05065968ac,bac79451-3654-4840-9cba-0667b8e8696b,ac10b50e-f1ca-44a3-86f7-d30bccb720bb,seller,LA,South Sophia,100000,250000,12,,,,"8951 Michelle Parkways, New Jenniferstad, MN 03864",139764.0,Downsizing,Not sure,False,2026-03-16T04:43:59.520325
c680f64f-8568-449a-8ef1-868e5528e781,c9eb1201-e702-41b5-a7fc-fb2cf321f76d,f48db865-1e1c-4740-99d0-fc211405feb2,buyer,MS,Clarkville,250000,400000,24,In Progress,Commercial,ASAP,,,,,True,2026-03-07T10:25:45.520325
634b18ef-1d24-4b73-822b-325ba75cc938,d5fa074c-bea8-4262-8a13-d157caba5aa1,90a90499-6280-429d-821e-14c3fe2f41ea,buyer,ME,West Rachelton,400000,600000,3,Approved,Multi-Family,3-6 months,,,,,True,2026-03-08T18:00:35.520325
8aedc3f2-7372-4a86-ad00-ba2abe5d4746,5deb3330-69f9-42b3-aa3b-e51a0a6139de,24f62638-29cf-45fc-94ed-4c8d1bd93c25,buyer,GA,East David,1500000,5000000,1,Approved,Condo,3-6 months,,,,,True,2026-04-22T11:53:59.520325
0f1a9ba9-2d5e-4e7d-8e18-757c47bf3c07,3529debf-41a1-466f-896c-63a84b874a35,81859246-8e57-4661-8500-c34a77882817,buyer,CT,North Megan,600000,900000,1,Approved,Land,3-6 months,,,,,True,2026-06-27T12:56:19.520325
b921e506-fe37-41b3-943b-5f8f5075961e,c8b37136-7c4c-41f9-91a0-10a7969c7f17,90104dca-00ab-426a-ba8e-b79bb735001f,buyer,PA,Leemouth,100000,250000,3,Approved,Townhouse,1-3 months,,,,,False,2026-07-03T16:00:41.520325
5cd24c55-54f2-4ab7-b3ed-e81842749735,2c125d39-5659-4659-bae5-1b930c1cb5b9,ce2f8ca4-b137-4f70-808b-2b60f72be57d,seller,KY,New Stephenville,600000,900000,3,,,,"215 Michael Bridge Apt. 446, Michaelfurt, KS 74047",710971.0,Estate Sale,1-3 months,True,2026-03-06T15:48:51.520325
f9d2aad3-acd1-498c-af86-3605ad8d80ac,552c39f4-a5be-402c-84d5-7fe4b831d5be,bba25829-129d-453e-9cf0-e557150f1dd5,seller,WA,Andrewview,900000,1500000,6,,,,"USNS Young, FPO AA 00756",1170620.0,Investment,3-6 months,True,2026-07-09T19:39:29.520325
31792584-b18b-486b-b7b0-f98013d4be6a,fe04f9e2-af03-48da-8db4-490a4264b4f9,05fdda97-91ea-4fd1-8c7c-b17549733404,buyer,NY,Lake Amyburgh,600000,900000,1,In Progress,Single Family,ASAP,,,,,True,2026-06-19T02:59:40.520325
027e1936-5dd1-4bb0-8565-01272ef1d760,95257444-b82d-4351-a002-e0e2839337de,9265687d-b0ae-46e9-93fd-4077c03e5518,buyer,WI,West Donberg,250000,400000,1,In Progress,Commercial,ASAP,,,,,True,2026-03-01T07:54:58.520325
23dc9c92-cb14-42be-b8f5-6a8e2a6c710b,f4bb7204-8943-4d04-9d5e-470b16d8b8d8,884e8e40-c515-48a3-84ee-69d7918ce59f,seller,AL,Rodgersmouth,250000,400000,24,,,,"833 Williams Bridge, West Michele, KS 23507",266517.0,Estate Sale,3-6 months,True,2026-02-18T04:35:11.520325
4a6e439a-4d7c-46b0-8a29-23874311580c,ac327810-7537-4f28-9b2b-232e85801f95,9118917a-f5d4-45dc-8483-44e83ff0999a,buyer,NE,Gonzalezfort,900000,1500000,1,Approved,Condo,1-3 months,,,,,True,2026-04-29T16:33:34.520325
45395b6a-1c2e-488c-995f-0e64d280ab79,0ca6530d-6995-44d6-afc7-5e92dda0bcec,9391fd8e-b6c3-4276-945e-08847b858517,seller,AL,Wagnerberg,600000,900000,24,,,,"8937 Krystal Place, Erintown, MO 84852",632356.0,Upsizing,3-6 months,True,2026-04-07T09:13:13.520325
606fce56-2245-4520-937e-3d603e385317,1dc414a5-f32b-490a-a1da-f20fa1050e06,a754f2b6-fa16-41d9-99d5-f4a75ed56e6e,seller,HI,East Terrance,400000,600000,3,,,,"0892 John Viaduct Apt. 653, Lake Rebekah, WY 09466",511153.0,Relocation,1-3 months,True,2026-02-20T12:56:58.520325
77c4e5a5-e385-4791-a85c-172ab21a96d1,b29150d2-dc7d-49d8-a36e-5afac21f82be,4bc731b9-d870-4c59-9c6c-590544d4b301,buyer,WA,New Bethmouth,250000,400000,12,Approved,Single Family,1-3 months,,,,,True,2026-02-28T16:35:55.520325
36966f17-0c16-4955-a7db-519b202e731f,2018ddb9-1349-4898-9a00-bac20a8503ae,193820c4-4c84-4b33-bb86-514209b01999,buyer,MO,Andersonchester,1500000,5000000,3,In Progress,Townhouse,3-6 months,,,,,True,2026-06-15T01:35:49.520325
287e4ea9-959f-4fcb-9e52-d85bc74c21c4,24bb997e-d6d6-4dc8-8275-ce01bf7f32dd,02e46f74-a47a-47b9-b5d2-cef44d800f66,seller,UT,Courtneyville,1500000,5000000,12,,,,"USNV Gilmore, FPO AP 23341",3829420.0,Job Change,Within 30 days,True,2026-02-25T20:52:41.520325
3a53a8f5-3d13-4852-afaf-ae8641ff4140,6f4fa87b-d3e8-4677-9962-7e50d557bffe,6c205fca-0c11-4dcf-b262-b5cb3f34eccb,seller,NJ,South Kayla,900000,1500000,1,,,,"9848 Williams Isle, South Bridgetland, NJ 55190",1108266.0,Divorce,Within 30 days,True,2026-02-12T02:36:07.520325
7e66cd7b-07ef-41d3-821e-d39ff019f443,9b41502d-d8e3-4f56-bdbd-ac2918092adb,839497aa-00cf-442b-83e0-c5c44323a66c,buyer,AK,Chloeview,600000,900000,6,Approved,Multi-Family,ASAP,,,,,True,2026-07-08T19:17:08.520325
ad9ad859-c25c-441d-b25b-ebf038a73ddb,67fd58b1-2c7b-4221-b7af-2e8523c03c48,a9d114d4-6683-4f02-ba48-3caf25af879f,seller,FL,Samuelborough,600000,900000,24,,,,"919 Roman Cliff Suite 262, East Tannerhaven, NH 71352",773459.0,Investment,Within 30 days,True,2026-02-12T15:57:32.520325
3cfb4579-d3c2-4936-b591-eb000a4a14da,e1598fff-4296-4c19-ac9b-e73a228cc223,27d78149-47d1-4d08-89a7-12c45bfcc8c9,buyer,CT,East John,600000,900000,24,In Progress,Land,6-12 months,,,,,True,2026-05-22T01:54:28.520325
5b34076e-6a51-49a0-9024-beebed4bc3fc,c23ce28c-8707-4ebf-aa0c-a5c40281c1e2,012d32ad-f34d-4c18-b05f-1eceed2d2052,seller,OK,New Derekfort,1500000,5000000,24,,,,"90534 Carter Walks Apt. 042, Lisaberg, KY 45057",3208999.0,Upsizing,1-3 months,False,2026-02-26T02:09:32.520325
